Sr. No.,Part number,Description,Part Group,Scheme
352,K12121AAWA000S,CYLINDER STD KIT,Cylinder Kit,Basket 1
353,K12121AATA001S,"KIT, CYLINDER",Cylinder Kit,Basket 1
354,K12121AATA000S,"KIT, CYLINDER",Cylinder Kit,Basket 1
355,K12121AADG501S,"KIT, CYLINDER",Cylinder Kit,Basket 1
356,K12121ABGA000S,"KIT, CYLINDER",Cylinder Kit,Basket 1
357,23100AAL500S,BELT DRIVE (Scooter),Belt,Basket 1
358,23100KPL900S,BELT DRIVE (Scooter),Belt,Basket 1
359,23100AAW001S,BELT DRIVE (Scooter),Belt,Basket 1
360,23100AAL000S,BELT DRIVE (Scooter),Belt,Basket 1
361,961406301010S,BRG.BALL RADIAL6301,Ball Bearing,Basket 1
362,91001GF6000S,BRG.BALLRADIAL,Ball Bearing,Basket 1
363,961006203000S,BRG.BALL RADIAL6203,Ball Bearing,Basket 1
364,961506203010S,BEARING BALL RADIAL 6203 (UU),Ball Bearing,Basket 1
365,961006001000S,BRG.BALL RADIAL6001,Ball Bearing,Basket 1
366,91009GW3980S,BRG.BALL RADIAL 6004 UU,Ball Bearing,Basket 1
367,961006201000S,BRG.BALL RADIAL 6201,Ball Bearing,Basket 1
368,91002KTC901S,BRG.BALL RADIAL 63/22 SPL.,Ball Bearing,Basket 1
369,961006203010S,BARING BALL RADIAL 6203,Ball Bearing,Basket 1
370,90912KPL900S,BEARING BALL RADIAL 6201(U),Ball Bearing,Basket 1
371,91002KSP911S,BRG.BALL RADIAL 6207 SPL LEFT,Ball Bearing,Basket 1
372,91001GCC000S,BRG.BALL RADIAL 6205Z,Ball Bearing,Basket 1
373,91002GCC000S,BRG.BALL RADIAL 6007,Ball Bearing,Basket 1
374,961006301000S,BRG.BALL RADIAL 6301,Ball Bearing,Basket 1
375,961006202000S,BEARING BALL RADIAL 6202,Ball Bearing,Basket 1
376,91002AAF400S,BRG. BALL RADIAL 56X22,Ball Bearing,Basket 1
377,961506005010S,BEARING BALL RADIAL 6005,Ball Bearing,Basket 1
378,91001KWS901S,BRG.BALL RADIAL 63/22,Ball Bearing,Basket 1
379,91004AAL00099S,BRG BALL RADIAL 6203 SPC,Ball Bearing,Basket 1
380,961506301010S,BEARING BALL RADIAL 6301(UU),Ball Bearing,Basket 1
381,91004AAW00099S,BRG BALL RADIAL 6204,Ball Bearing,Basket 1
382,961406302010S,BEARING BALL RADIAL 6302(U),Ball Bearing,Basket 1
383,91002KWS901S,BRG BALL RADIAL 63/22,Ball Bearing,Basket 1
384,91001AAF400S,BRG. BALL RADIAL 56X22,Ball Bearing,Basket 1
385,91009KVY961S,BRG BALL RADIAL 6902U,Ball Bearing,Basket 1
386,35100AAEH00S,SW ASSY COMB & LOCK,Basket 2,Basket 2
387,83401KCC900SS,VISOR FRONT (BLACK),Basket 2,Basket 2
388,22121198900S,CENTER CLUTCH,Basket 2,Basket 2
389,14610086000RS,ROLLAR COMP CAM CHAIN,Basket 2,Basket 2
390,14502086000RS,ROLLER CAM CHAIN TENSIONER,Basket 2,Basket 2
391,22121KTP900S,ROLLER COMP. WEIGHT,Basket 2,Basket 2
392,53100KWH970S,PIPE STRG.HANDLE,Basket 2,Basket 2
393,50530KST940S,BAR COMP.SIDE STAND,Basket 2,Basket 2
394,3310AKCC710AS,LIGHT ASSY. HEAD(W/O BULB),Basket 2,Basket 2
395,35180KWP901S,SWITCH UNIT HORN,Basket 2,Basket 2
396,3310AAAGH20S,LIGHT ASSY HEAD(W/O BULB),Basket 2,Basket 2
397,17211KZAW00S,ELEMENT COMP AIR C,Basket 2,Basket 2
398,K50506KCCA900RS,KIT STEP,Basket 2,Basket 2
399,K50506KCCA900LS,KIT STEP,Basket 2,Basket 2
400,52110KST900S,SWINGARM COMP.REAR,Basket 2,Basket 2
401,3310BAAH10099S,LIGHT ASSY. HEAD,Basket 2,Basket 2
402,06455AANE00S,"KIT, PAD FR",Basket 2,Basket 2
403,K42423KSTG940S,KIT HALF-AXLE NUT,Basket 2,Basket 2
404,K44448KTPF900S,KIT PINION SPEEDOMETER,Basket 2,Basket 2
405,88120AANH01ZAS,MIRROR ASSEMBLY LEFT BACK(BLACK NH-1),Basket 2,Basket 2
406,K51514KTPF900S,KIT CUSHION BUSH,Basket 2,Basket 2
407,K50506KTCF900RS,KIT STEP,Basket 2,Basket 2
408,41241GB4770S,DAMPER RR WHEEL,Basket 2,Basket 2
409,K14147ABLA000S,Valve KIT-Maestro,Basket 2,Basket 2
410,91001KTC900S,BRG.ROLLER 22 X 58 X 17,Basket 2,Basket 2
411,16100AALH00S,CARBURETOR ASSY,Basket 2,Basket 2
412,23121KST901S,GEAR PRIMARY DRIVE 18T,Basket 2,Basket 2
413,24211GF6000RS,FORK GEAR SHIFT,Basket 2,Basket 2
414,K10111HF100DS,KIT GASKET,Basket 2,Basket 2
415,24430KST900S,ARM COMP.SHIFT DRUM STOPPER,Basket 2,Basket 2
416,23123KGH900S,GEAR C PRIMARY DRIVE(YELLOW),Basket 2,Basket 2
417,88110AANH01ZAS,MIRROR ASSEMBLY RIGHT BACK (BLACK NH-1),Basket 2,Basket 2
418,22121KWP900S,ROLLER COMP WEIGHT,Basket 2,Basket 2
419,14520KTC902S,LIFTER ASSY.TENSIONER,Basket 2,Basket 2
420,41241KTC900S,DAMPERREAR WHEEL,Basket 2,Basket 2
421,K40405KWAG930S,CHAIN COVER KIT,Basket 2,Basket 2
422,16100AAW002S,CARBURETTOR ASSY,Basket 2,Basket 2
423,23121KTN900S,GEAR PRIMARY DRIVE (20T),Basket 2,Basket 2
424,11203GC7300S,UND.RUBBER BUSH RR.CUSH.,Basket 2,Basket 2
425,91001KTN900S,BRG.ROLLER 30X58X17,Basket 2,Basket 2
426,K42423KCCZ600S,KIT HALF-AXLE NUT,Basket 2,Basket 2
427,K91910KTCE900S,KIT ENGINE BEARING,Basket 2,Basket 2
428,22121AAW300S,ROLLER COMP. WEIGHT,Basket 2,Basket 2
429,50530KWP900S,BAR COMP SIDE STAND,Basket 2,Basket 2
430,29K210S,SPEEDOMETER DRIVE KIT,Basket 2,Basket 2
431,K45454AAGA000S,KIT CABLE FRONT BRAKE,Basket 2,Basket 2
432,14566086030S,HEAD.TENSIONER.PUSH ROD,Basket 2,Basket 2
433,K50506KTCF900LS,KIT STEP,Basket 2,Basket 2
434,41241KSP900S,DAMPER RR WHEEL (Set of 4),Basket 2,Basket 2
435,23421GCC000S,SHAFT COUNTER,Basket 2,Basket 2
436,15100KTP900S,OIL PUMP ASSY.,Basket 2,Basket 2
437,14520KPL840S,LIFTER ASSY.TENSIONER,Basket 2,Basket 2
438,K50505ACKH700S,KIT SIDE STAND,Basket 2,Basket 2
439,K10123HF100DS,"KIT,CAP TAPPET",Basket 2,Basket 2
440,50355KPL900S,LINK SUB ASSEMBLY ENGINE HANGER,Basket 2,Basket 2
441,51410KCC900S,PIPE COMP.FR.FORK,Basket 2,Basket 2
442,K96961HF100RRS,KIT WHEEL BEARING,Basket 2,Basket 2
443,K22222KTRK000S,Kit Clutch Assembly - BSIII (125 CC),Basket 2,Basket 2
444,K14144AADA000S,KIT Half Cam Chain 100CC,Basket 2,Basket 2
445,K23010AAWFP11S,KIT CLUTCH PULLEY,Basket 2,Basket 2
446,K23010ABS4P11S,KIT CLUTCH PULLEY,Basket 2,Basket 2
447,K23010KTP9P11S,KIT CLUTCH PULLEY,Basket 2,Basket 2
448,33400KCC710PROS,,ProParts WINKER,Ancillary
449,83401KCC900SPROS,,ProParts VISOR,Ancillary
450,61100KST940ZAPROS,,ProParts FENDER,Ancillary
451,53178AAFH00PROS,,ProParts LEVER LEFT,Ancillary
452,53175AAFH00PROS,,ProParts LEVER RIGHT,Ancillary
453,ACKEA7B000000GS,,U BATTERY HBT4,Ancillary
454,44711HTF700S,,Tyre Maxis 1,Ancillary
455,42711HTR701S,,Tyre Maxis 2,Ancillary
456,20K710S,Chainsets,Chainsets,Chainsets
457,20K211S,Chainsets,Chainsets,Chainsets
